symbol,entry_date,exit_date,entry_price,exit_price,initial_stop,exit_stop,target,quantity,entry_cost,exit_proceeds,net_pnl,net_return_pct,planned_risk_rupees,net_r,fees,holding_sessions,reason,adds
NAUKRI,2020-08-10,2021-02-01,649.1057107588467,859.1114689281264,602.272391838056,602.272391838056,,9,5850.714323924865,7700.405215522609,1849.6908915977438,31.614787343725677,461.09963509679994,4.011477673820829,40.36093192577414,122,weekly_sma10,0
HINDZINC,2021-03-08,2021-03-18,205.78988557120314,189.14344685462785,189.23806588757162,189.23806588757162,,28,5770.759971187679,5268.072487161686,-502.6874840259934,-8.710940786583008,502.68748402599283,-1.000000000000001,36.587199961884906,8,stop,0
TECHM,2021-04-08,2021-04-13,856.1819527169108,807.4019050271032,807.8058079310687,807.8058079310687,,9,7717.196030813876,7235.717219526064,-481.4788112878123,-6.2390382383099094,481.4788112878125,-0.9999999999999996,42.458382079544194,4,stop,0
JINDALSTEL,2021-04-01,2021-05-31,349.75422554111674,389.39185076198595,320.40884988009327,320.40884988009327,,15,5254.182853191426,5812.116444787645,557.9335915962192,10.618846111481,477.65876588686893,1.1680589396497394,36.63078671681981,39,weekly_sma10,0
APOLLOHOSP,2021-06-03,2021-06-17,3354.283546235958,3184.706876512401,3186.3000265256637,3186.3000265256637,,2,6718.6299431106245,6339.859632395265,-378.7703107153593,-5.637612339458517,378.7703107153593,-1.0,39.61697126824508,11,stop,0
OBEROIRLTY,2021-08-02,2021-08-11,713.0704580040032,658.989294845224,659.3189543223851,659.3189543223851,,9,6427.260573219082,5902.007298126606,-525.2532750924765,-8.17227291641304,525.253275092477,-0.9999999999999991,38.522806663464564,8,stop,0
MFSL,2021-05-04,2021-08-23,911.1150798749999,1039.530023803711,851.4600659685948,851.4600659685948,,7,6387.372267463687,7245.7951013760385,858.422833912351,13.43937378262776,459.0677764417371,1.8699261371949036,40.48177358862647,77,weekly_sma10,0
CUMMINSIND,2021-08-09,2021-10-04,846.4118589971035,854.0769943034703,800.8223953749996,800.8223953749996,,10,8476.814767855993,8507.958788120151,31.144020264158826,0.36740239249130086,504.6012558455311,0.061720060945890026,45.50733279950861,39,weekly_sma10,0
BAJFINANCE,2021-06-01,2021-11-01,560.6426942113807,724.1754868968643,528.34217770116,528.34217770116,,14,7860.7712155377685,10103.249131331266,2242.4779157934972,28.527454295590836,498.7687611042934,4.496027198713416,46.981181803273145,106,weekly_sma10,0
VEDL,2021-10-12,2021-11-18,159.20617269712787,148.87709275787284,148.95156854214392,148.95156854214392,,48,7653.3591338963315,7115.38130169933,-537.9778321970016,-7.029303378882687,537.9778321970016,-1.0,42.18199511276005,26,stop,0
NATIONALUM,2021-10-04,2021-11-22,80.13410121864669,75.06366409562851,73.04059262089726,73.04059262089726,,70,5617.801165933227,5226.574801963955,-391.2263639692719,-6.964047897275153,535.1815308062311,-0.7310161906744127,36.295765357998896,33,weekly_sma10,0
PERSISTENT,2021-05-03,2021-11-29,1009.9086908552938,1828.6272455795777,928.3022580799143,928.3022580799143,,5,5057.117769457884,9109.421523556042,4052.3037540981586,80.13069773798367,444.8860205056434,9.10863359898888,41.28901952326154,144,weekly_sma10,0
NATIONALUM,2022-04-11,2022-04-12,105.49650197232397,97.40652060082094,97.4552482249334,97.4552482249334,,61,6444.93955024223,5912.885060015103,-532.0544902271276,-8.255383717402449,532.0544902271279,-0.9999999999999996,38.565626565442756,2,stop,0
VEDL,2022-03-07,2022-05-09,204.68250774543574,211.80729174921225,188.55069394164127,188.55069394164127,,30,6149.685945211617,6324.687424347653,175.00147913603632,2.8456978241677406,524.4739262082633,0.3336705037011602,38.74204097725916,42,weekly_sma10,0
POWERINDIA,2022-07-18,2022-07-20,3651.259907778847,3404.4950522587546,3406.1981513344217,3406.1981513344217,,1,3656.7367976405153,3379.3883096803665,-277.34848796014876,-7.584589849045357,277.34848796014876,-1.0,30.5836324400564,3,stop,0
VBL,2022-11-30,2023-01-13,244.50862686956344,226.32791250204335,226.4411330685776,226.4411330685776,,26,6366.760135056563,5855.698936465547,-511.06119859101545,-8.027021400995109,511.0611985910152,-1.0000000000000004,38.36262503549266,33,stop,0
KPITTECH,2023-09-01,2023-09-13,1158.5079018484093,1091.5999621265419,1092.146035144114,1092.146035144114,,7,8121.719645908274,7609.737935283465,-511.98171062480924,-6.303858455428781,511.98171062481083,-0.9999999999999969,43.62613257173699,9,stop,0
