id,pattern,entry,exit,market_filter,pyramid,period,start,end,initial_cash,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,closed_trades,win_rate_pct,profit_factor,average_win_pct,average_loss_pct,mean_net_r,mean_holding_sessions,average_exposure_pct,fees_and_fixed_charges
three__intraday_pivot__weekly_sma10__m0__a1,three,intraday_pivot,weekly_sma10,False,True,development,2016-01-01,2020-12-31,100000,101509.91412407282,1.5099141240728198,0.3002164619829273,1.1555561347718957,4,25.0,2.5602113997884373,42.34827598948704,-4.5846348109191215,0.8479731513222909,32.75,0.7007119042979789,163.6190633836341
three__intraday_pivot__weekly_sma10__m0__a1,three,intraday_pivot,weekly_sma10,False,True,validation,2021-01-01,2023-12-29,100000,99518.18452896747,-0.48181547103253175,-0.16141576062018714,0.48181547103253175,1,0.0,0.0,,-5.716330379171584,-1.0000000000000022,7.0,0.06678461141893866,44.59255743214714
three__intraday_pivot__weekly_sma10__m0__a1,three,intraday_pivot,weekly_sma10,False,True,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__weekly_sma10__m0__a1,three,intraday_pivot,weekly_sma10,False,True,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__weekly_sma10__m0__a1,three,intraday_pivot,weekly_sma10,False,True,full,2016-01-01,2026-09-23,100000,100378.12168247958,0.378121682479593,0.03518957214547758,2.358005306369737,5,20.0,1.2569513415588303,31.614787343725677,-4.8648623055575415,0.2059923772160263,31.8,0.4150453140239973,208.43930125214465
three__intraday_pivot__weekly_sma10__m0__a1,three,intraday_pivot,weekly_sma10,False,True,full_stress,2016-01-01,2026-09-23,100000,100115.50679938677,0.11550679938676645,0.01076232277232858,2.137973254135106,5,20.0,1.0779234429154185,30.662248552936717,-5.571275751440251,0.09205530066036019,31.8,0.36442168763386124,389.308414316522
three__intraday_pivot__weekly_sma10__m1__a0,three,intraday_pivot,weekly_sma10,True,False,development,2016-01-01,2020-12-31,100000,101509.91412407282,1.5099141240728198,0.3002164619829273,1.1555561347718957,4,25.0,2.5602113997884373,42.34827598948704,-4.5846348109191215,0.8479731513222909,32.75,0.7007119042979789,163.6190633836341
three__intraday_pivot__weekly_sma10__m1__a0,three,intraday_pivot,weekly_sma10,True,False,validation,2021-01-01,2023-12-29,100000,99518.18452896747,-0.48181547103253175,-0.16141576062018714,0.48181547103253175,1,0.0,0.0,,-5.716330379171584,-1.0000000000000022,7.0,0.06678461141893866,44.59255743214714
three__intraday_pivot__weekly_sma10__m1__a0,three,intraday_pivot,weekly_sma10,True,False,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__weekly_sma10__m1__a0,three,intraday_pivot,weekly_sma10,True,False,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__weekly_sma10__m1__a0,three,intraday_pivot,weekly_sma10,True,False,full,2016-01-01,2026-09-23,100000,100378.12168247958,0.378121682479593,0.03518957214547758,2.358005306369737,5,20.0,1.2569513415588303,31.614787343725677,-4.8648623055575415,0.2059923772160263,31.8,0.4150453140239973,208.43930125214465
three__intraday_pivot__weekly_sma10__m1__a0,three,intraday_pivot,weekly_sma10,True,False,full_stress,2016-01-01,2026-09-23,100000,100115.50679938677,0.11550679938676645,0.01076232277232858,2.137973254135106,5,20.0,1.0779234429154185,30.662248552936717,-5.571275751440251,0.09205530066036019,31.8,0.36442168763386124,389.308414316522
three__intraday_pivot__weekly_sma10__m1__a1,three,intraday_pivot,weekly_sma10,True,True,development,2016-01-01,2020-12-31,100000,101509.91412407282,1.5099141240728198,0.3002164619829273,1.1555561347718957,4,25.0,2.5602113997884373,42.34827598948704,-4.5846348109191215,0.8479731513222909,32.75,0.7007119042979789,163.6190633836341
three__intraday_pivot__weekly_sma10__m1__a1,three,intraday_pivot,weekly_sma10,True,True,validation,2021-01-01,2023-12-29,100000,99518.18452896747,-0.48181547103253175,-0.16141576062018714,0.48181547103253175,1,0.0,0.0,,-5.716330379171584,-1.0000000000000022,7.0,0.06678461141893866,44.59255743214714
three__intraday_pivot__weekly_sma10__m1__a1,three,intraday_pivot,weekly_sma10,True,True,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__weekly_sma10__m1__a1,three,intraday_pivot,weekly_sma10,True,True,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__weekly_sma10__m1__a1,three,intraday_pivot,weekly_sma10,True,True,full,2016-01-01,2026-09-23,100000,100378.12168247958,0.378121682479593,0.03518957214547758,2.358005306369737,5,20.0,1.2569513415588303,31.614787343725677,-4.8648623055575415,0.2059923772160263,31.8,0.4150453140239973,208.43930125214465
